1970-01-01John           Smith           81.5 81.4
1975-01-31Jane           Doe             61.1 99.6
1988-11-28Bob            Big            102.4345
1970-01-01John           Smith           81.5 81.4
1975-01-31Jane           Doe             61.1 99.6
1988-11-28Bob            Big            102.4345
1970-01-01John           Smith           81.5 81.4
1975-01-31Jane           Doe             61.1 99.6
1988-11-28Bob            Big            102.4345
1970-01-01John           Smith           81.5 81.4
